emp_no,last_name,gender,first_name,salary,to_date
10198,Furedi,M,Pranav,44076,9999-01-01
10001,Facello,M,Georgi,60117,9999-01-01
10004,Koblick,M,Chirstian,40054,9999-01-01
10009,Peac,F,Sumant,60929,9999-01-01
10018,Peha,F,Kazuhide,55881,9999-01-01
10035,Chappelet,M,Alain,41538,9999-01-01
10053,Zschoche,F,Sanjiv,67854,9999-01-01
10058,McFarlin,M,Berhard,52787,9999-01-01
10066,Schusler,M,Kwee,69736,9999-01-01
10067,Stavenow,M,Claudi,44642,9999-01-01
10070,Garigliano,M,Reuven,55999,9999-01-01
10072,Sidou,F,Hironoby,40000,9999-01-01
10076,Ritzmann,F,Erez,47319,9999-01-01
10088,Syrzycki,F,Jungsoon,65957,9999-01-01
10100,Haraldson,F,Hironobu,54398,9999-01-01
10103,Birch,M,Akemi,68158,9999-01-01
10126,Valtorta,M,Kayoko,40000,9999-01-01
10129,Peir,M,Armond,40000,9999-01-01
10130,Casperson,M,Nishit,40000,9999-01-01
10134,Siprelle,M,Diederik,40000,9999-01-01
10138,Shimshoni,M,Perry,53574,9999-01-01
10150,Perng,F,Zhenbing,70122,9999-01-01
10153,Majewski,M,Heekeun,54246,9999-01-01
10157,Aloisi,M,Nigel,48770,9999-01-01
10372,Frijda,F,Anneli,54505,9999-01-01
10387,Wrigley,F,Parto,61374,9999-01-01
10396,Rahier,M,Sibyl,40393,9999-01-01
10402,Ebeling,M,Volkmar,40000,9999-01-01
10404,Rosti,F,Prodip,51647,9999-01-01
10426,Luce,F,Arunas,65757,9999-01-01
10429,Improta,F,Martien,40000,9999-01-01
10432,Tiemann,F,Hisao,40000,9999-01-01
10451,Ranta,F,Bodh,46275,9999-01-01
10453,Matzel,F,Tsvetan,40000,9999-01-01
10463,Zaiane,M,Ung,66480,9999-01-01
10486,Kossowski,F,Amstein,71692,9999-01-01
10494,Servieres,F,Yakkov,50094,9999-01-01
10504,Varker,M,Xiong,43931,9999-01-01
10512,Gihr,M,Udi,40000,9999-01-01
10522,Cesareni,F,Marke,40000,9999-01-01
10548,Gunderson,M,Ramalingam,90631,9999-01-01
10564,Thisen,M,Jianhao,46660,9999-01-01
10623,Danlos,F,Aleksander,60268,9999-01-01
10628,Krogh,M,Krisda,41650,9999-01-01
10631,Chaudhuri,M,Inderjeet,40000,9999-01-01
10642,Narlikar,M,Hirochika,40000,9999-01-01
10653,Feinberg,M,Otmar,40000,9999-01-01
10671,Rebaine,M,Parviz,74037,9999-01-01
10676,Danley,F,Valeri,58226,9999-01-01
10693,Daescu,F,Berhard,40000,9999-01-01
10702,Szemeredi,M,Bader,46581,9999-01-01
10718,Rullman,M,Adib,75473,9999-01-01
10726,Minakawa,F,Zita,46315,9999-01-01
10734,Erdi,M,Sachar,47377,9999-01-01
10745,Ranze,F,Poorav,40000,9999-01-01
10749,Brendel,M,King,60829,9999-01-01
10767,Doering,F,Monique,40651,9999-01-01
10768,Candan,M,Ishfaq,65717,9999-01-01
10778,Merey,M,Selwyn,64996,9999-01-01
10791,Sgarro,M,Tadahiko,40000,9999-01-01
10795,Naudin,M,Supot,84206,9999-01-01
10808,Leijenhorst,M,Chenxi,40000,9999-01-01
10835,Kermarrec,M,Tomoyuki,40000,9999-01-01
10836,Leivant,F,Jianhua,65502,9999-01-01
10844,Koprowski,M,Dipayan,40000,9999-01-01
10847,Danley,M,Theirry,40000,9999-01-01
10848,Bratsberg,F,Fen,50475,9999-01-01
10878,Deville,M,Lakshmi,72102,9999-01-01
10879,Chleq,F,Muzhong,65651,9999-01-01
10883,Champarnaud,M,Shimshon,40000,9999-01-01
10909,Atchley,M,Georgi,80935,9999-01-01
10215,Duclos,M,Xiaobin,43944,9999-01-01
10921,Bahi,F,Mara,72601,9999-01-01
10924,Atchley,F,Hironoby,84783,9999-01-01
10224,Trogemann,M,Leon,40000,9999-01-01
10927,Scallan,M,Gal,51819,9999-01-01
10233,Vendrig,F,Lein,40000,9999-01-01
10936,Schicker,F,Mountaz,40000,9999-01-01
10943,Skafidas,M,Berna,45890,9999-01-01
10258,Ishibashi,F,Basil,66280,9999-01-01
10272,Cannane,M,Yishai,58070,9999-01-01
10965,Braunschweig,M,Eckart,61654,9999-01-01
10282,Benzmuller,M,Hercules,40000,9999-01-01
10969,Noriega,M,Premal,40000,9999-01-01
10974,Papsdorf,M,Muneo,56005,9999-01-01
10283,Birjandi,M,Kauko,40000,9999-01-01
10326,Czap,F,Masali,40000,9999-01-01
10986,Schiper,M,Masako,43900,9999-01-01
10988,Deyuan,M,Chinya,54174,9999-01-01
10989,Candan,F,Sumali,46406,9999-01-01
10990,Foote,M,Shin,40000,9999-01-01
10340,Laventhal,M,Djelloul,68132,9999-01-01
11009,Axelband,F,Alper,75111,9999-01-01
10347,Kaminger,M,Pradeep,42199,9999-01-01
11012,Speckmann,F,Taegyun,72092,9999-01-01
10355,Cochrane,M,Satyanarayana,70434,9999-01-01
11019,Huttel,M,Leon,69387,9999-01-01
10356,Standera,M,Vasilis,45376,9999-01-01
10364,Dengi,M,Nakhoon,51401,9999-01-01
11021,Henders,F,Srinidhi,62670,9999-01-01
11112,Mukaidono,M,Boaz,40000,9999-01-01
11027,Cappello,M,Remzi,40000,9999-01-01
11031,Walstra,M,Ottavia,71654,9999-01-01
11113,Peng,F,Shahab,66401,9999-01-01
11121,Kakkad,F,Vugranam,40000,9999-01-01
11037,Maliniak,M,Lansing,40000,9999-01-01
11038,Beidas,M,Jinya,44993,9999-01-01
11133,Azulay,M,Nalini,40000,9999-01-01
11134,Rajcani,F,Sachar,58731,9999-01-01
11042,Breugel,F,Gou,40000,9999-01-01
11137,Luca,M,Hugh,40000,9999-01-01
11048,Demke,M,Jaques,65697,9999-01-01
11139,Homond,F,Bogdan,63596,9999-01-01
11050,Katiyar,M,Elvis,52251,9999-01-01
